Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Lat,Long
Gabon,Africa,2230563,7787,,51,,5609,,2127,11,3491,23,85369,38272,Africa,-0.803689,11.609444
Gambia,Africa,2422754,935,,16,,136,,783,,386,7,5183,2139,Africa,13.443182,-15.310139
Georgia,Asia,3988368,1206,,17,,987,,202,,302,4,240473,60294,Europe,42.315407,43.356892
Germany,Europe,83811260,215210,,9252,,196200,,9758,236,2568,110,8586648,102452,Europe,51.165691,10.451526
Ghana,Africa,31133483,39642,,199,,36384,,3059,7,1273,6,405817,13035,Africa,7.946527,-1.023194
Gibraltar,Europe,33690,190,,,,184,,6,,5640,,23063,684565,,36.137741,-5.345374
Greece,Europe,10417673,5123,,210,,1374,,3539,14,492,20,619393,59456,Europe,39.074208,21.824312
Greenland,North America,56780,14,,,,14,,0,,247,,5977,105266,Europe,71.706936,-42.604303
Grenada,North America,112576,24,,,,23,,1,,213,,6252,55536,Americas,12.262776,-61.604171
Guadeloupe,North America,400131,279,,14,,179,,86,,697,35,18476,46175,,16.995971,-62.067641
Guatemala,North America,17946899,54339,,2119,,42070,,10150,5,3028,118,172712,9624,Americas,15.783471,-90.230759
Guinea,Africa,13164905,7664,,49,,6757,,858,24,582,4,14407,1094,Africa,9.945587,-9.696645
Guinea-Bissau,Africa,1972277,2032,,27,,944,,1061,5,1030,14,1500,761,Africa,11.803749,-15.180413
Guyana,South America,786936,538,,22,,189,,327,2,684,28,5165,6563,Americas,4.860416,-58.93018
Haiti,North America,11416103,7544,,171,,4832,,2541,,661,15,18443,1616,Americas,18.971187,-72.285215
Honduras,North America,9919704,45098,,1423,,6116,,37559,52,4546,143,109292,11018,Americas,15.199999,-86.241905
Hong Kong,Asia,7503041,3850,,46,,2458,,1346,39,513,6,692430,92287,WesternPacific,22.396428,114.109497
Hungary,Europe,9657785,4597,,600,,3463,,534,8,476,62,352546,36504,Europe,47.162494,19.503304
Iceland,Europe,341465,1930,,10,,1825,,95,,5652,29,149693,438385,Europe,64.963051,-19.020835
India,Asia,1381344997,2025409,,41638,,1377384,,606387,8944,1466,30,22149351,16035,South-EastAsia,20.593684,78.96288
Indonesia,Asia,273808365,118753,,5521,,75645,,37587,,434,20,1633156,5965,South-EastAsia,-0.789275,113.921327
Iran,Asia,84097623,320117,,17976,,277463,,24678,4156,3806,214,2612763,31068,EasternMediterranean,32.427908,53.688046
Iraq,Asia,40306025,140603,,5161,,101025,,34417,517,3488,128,1092741,27111,EasternMediterranean,33.223191,43.679291
Ireland,Europe,4943200,26372,,1768,,23364,,1240,5,5335,358,652917,132084,Europe,53.41291,-8.24389
Isle of Man,Europe,85078,336,,24,,312,,0,,3949,282,8627,101401,,54.236107,-4.548056
Israel,Asia,9197590,79559,,576,,53427,,25556,358,8650,63,1872453,203581,Europe,31.046051,34.851612
Italy,Europe,60452568,249204,,35187,,201323,,12694,42,4122,582,7099713,117443,Europe,41.87194,12.56738
Jamaica,North America,2962478,958,30,12,,745,,201,,323,4,41840,14123,Americas,18.109581,-77.297508
Japan,Asia,126435859,42263,,1026,,28877,,12360,115,334,8,938739,7425,WesternPacific,36.204824,138.252924
Jordan,Asia,10213138,1232,,11,,1171,,50,3,121,1,628745,61562,EasternMediterranean,30.585164,36.238414
